corridor_id,receiver_id,Lden_db,SEL_total_db,LAeq_day_db
corridor_0,3008,-3.185311199,39.43970773,-11.68634229
corridor_0,3009,-2.801335216,39.82368371,-11.30236631
corridor_0,3010,-2.788170696,39.83684823,-11.28920179
corridor_0,3011,-3.14018333,39.48483559,-11.64121442
corridor_0,3012,-3.168904186,39.45611474,-11.66993528
corridor_0,3013,-3.630448223,38.9945707,-12.13147931
corridor_0,3014,-3.715298534,38.90972039,-12.21632963
corridor_0,3015,-4.265419842,38.35959908,-12.76645093
corridor_0,3016,-4.395974041,38.22904488,-12.89700513
corridor_0,3017,-5.672745586,36.95227334,-14.17377668
corridor_0,3018,-6.587162853,36.03785607,-15.08819394
corridor_0,3019,-7.682291866,34.94272706,-16.18332296
corridor_0,3020,-10.78593528,31.83908364,-19.28696637
corridor_0,3123,-13.85809982,28.76691911,-22.35913091
corridor_0,3124,-8.937556148,33.68746278,-17.43858724
corridor_0,3125,-6.574118496,36.05090043,-15.07514959
corridor_0,3126,-5.009182812,37.61583611,-13.5102139
corridor_0,3127,-3.84022987,38.78478905,-12.34126096
corridor_0,3128,-3.666451336,38.95856759,-12.16748243
corridor_0,3129,-3.114437939,39.51058099,-11.61546903
corridor_0,3130,-2.311028362,40.31399056,-10.81205945
corridor_0,3131,-2.200562359,40.42445657,-10.70159345
corridor_0,3132,-1.840393902,40.78462502,-10.34142499
corridor_0,3133,-1.784302593,40.84071633,-10.28533368
corridor_0,3134,-1.486042858,41.13897607,-9.987073949
corridor_0,3135,-1.731644512,40.89337441,-10.2326756
corridor_0,3136,-1.486069561,41.13894936,-9.987100652
corridor_0,3137,-1.509655834,41.11536309,-10.01068692
corridor_0,3138,-1.563927532,41.06109139,-10.06495862
corridor_0,3139,-1.649258495,40.97576043,-10.15028959
corridor_0,3140,-1.726452709,40.89856622,-10.2274838
corridor_0,3141,-2.072213055,40.55280587,-10.57324415
corridor_0,3142,-2.169468761,40.45555016,-10.67049985
corridor_0,3143,-2.588368298,40.03665063,-11.08939939
corridor_0,3144,-3.061898113,39.56312081,-11.5629292
corridor_0,3145,-3.593365551,39.03165337,-12.09439664
corridor_0,3146,-4.201508404,38.42351052,-12.70253949
corridor_0,3147,-6.134440304,36.49057862,-14.63547139
corridor_0,3252,-10.9803685,31.64465043,-19.48139959
corridor_0,3253,-3.417870403,39.20714852,-11.91890149
corridor_0,3254,-2.848454357,39.77656457,-11.34948545
corridor_0,3255,-2.320778728,40.3042402,-10.82180982
corridor_0,3256,-1.593747021,41.0312719,-10.09477811
corridor_0,3257,-1.445877911,41.17914101,-9.946909001
corridor_0,3258,-1.090912701,41.53410622,-9.591943791
corridor_0,3259,-0.761525036,41.86349389,-9.262556127
corridor_0,3260,-0.873181225,41.7518377,-9.374212316
corridor_0,3261,-0.608834148,42.01618478,-9.109865239
corridor_0,3262,-0.522110821,42.1029081,-9.023141912
corridor_0,3263,-0.445351482,42.17966744,-8.946382573
corridor_0,3264,-0.393662334,42.23135659,-8.894693425
corridor_0,3265,-0.551613689,42.07340524,-9.05264478
corridor_0,3266,-0.358788372,42.26623055,-8.859819463
corridor_0,3267,-0.573929668,42.05108926,-9.074960759
corridor_0,3268,-0.605000378,42.02001855,-9.106031468
corridor_0,3269,-0.873101116,41.75191781,-9.374132207
corridor_0,3270,-0.964196087,41.66082284,-9.465227178
corridor_0,3271,-1.315789104,41.30922982,-9.816820195
corridor_0,3272,-1.725819469,40.89919946,-10.22685056
corridor_0,3273,-1.88968742,40.7353315,-10.39071851
corridor_0,3274,-2.35175407,40.27326485,-10.85278516
corridor_0,3275,-3.223988415,39.40103051,-11.72501951
