corridor_id,receiver_id,order,grid_i,grid_j,X_EPSG5179,Y_EPSG5179,lat,lon,Lden_db,SEL_total_db,LAeq_day_db
corridor_0,3633,3633,48,28,1142250,1729250,35.5490393,129.0693669,-2.678654552,39.94636437,-11.17968564
corridor_0,3634,3634,49,28,1142350,1729250,35.5490249,129.0704697,-1.828808666,40.79621026,-10.32983976
corridor_0,3635,3635,50,28,1142450,1729250,35.5490105,129.0715726,-1.538586498,41.08643243,-10.03961759
corridor_0,3636,3636,51,28,1142550,1729250,35.5489961,129.0726755,-0.7970742,41.82794472,-9.29810529
corridor_0,3637,3637,52,28,1142650,1729250,35.5489817,129.0737784,-0.321293713,42.30372521,-8.822324803
corridor_0,3638,3638,53,28,1142750,1729250,35.5489673,129.0748812,0.272780537,42.89779946,-8.228250554
corridor_0,3639,3639,54,28,1142850,1729250,35.5489529,129.0759841,0.644606709,43.26962563,-7.856424382
corridor_0,3640,3640,55,28,1142950,1729250,35.5489385,129.077087,0.991774677,43.6167936,-7.509256413
corridor_0,3641,3641,56,28,1143050,1729250,35.5489241,129.0781899,1.313960194,43.93897912,-7.187070897
corridor_0,3642,3642,57,28,1143150,1729250,35.5489096,129.0792927,1.496371388,44.12139031,-7.004659703
corridor_0,3643,3643,58,28,1143250,1729250,35.5488952,129.0803956,1.784369587,44.40938851,-6.716661504
corridor_0,3644,3644,59,28,1143350,1729250,35.5488807,129.0814985,2.023421406,44.64844033,-6.477609685
corridor_0,3645,3645,60,28,1143450,1729250,35.5488662,129.0826013,2.112483143,44.73750207,-6.388547948
corridor_0,3646,3646,61,28,1143550,1729250,35.5488518,129.0837042,2.169139027,44.79415795,-6.331892064
corridor_0,3647,3647,62,28,1143650,1729250,35.5488373,129.0848071,2.295836567,44.92085549,-6.205194524
corridor_0,3648,3648,63,28,1143750,1729250,35.5488228,129.0859099,2.275126576,44.9001455,-6.225904515
corridor_0,3649,3649,64,28,1143850,1729250,35.5488083,129.0870128,2.242331623,44.86735055,-6.258699468
corridor_0,3650,3650,65,28,1143950,1729250,35.5487937,129.0881156,2.182162403,44.80718133,-6.318868688
corridor_0,3651,3651,66,28,1144050,1729250,35.5487792,129.0892185,2.107936024,44.73295495,-6.393095067
corridor_0,3652,3652,67,28,1144150,1729250,35.5487647,129.0903214,2.006686329,44.63170525,-6.494344762
corridor_0,3653,3653,68,28,1144250,1729250,35.5487501,129.0914242,1.900923847,44.52594277,-6.600107244
corridor_0,3654,3654,69,28,1144350,1729250,35.5487355,129.0925271,1.795664906,44.42068383,-6.705366185
corridor_0,3655,3655,70,28,1144450,1729250,35.548721,129.0936299,1.57201302,44.19703194,-6.929018071
corridor_0,3656,3656,71,28,1144550,1729250,35.5487064,129.0947328,1.298022389,43.92304131,-7.203008702
corridor_0,3657,3657,72,28,1144650,1729250,35.5486918,129.0958357,1.133193134,43.75821206,-7.367837956
