order,grid_i,grid_j,X_EPSG5179,Y_EPSG5179,lat,lon
375,118,2,1149250,1726650,35.524576,129.1460873
376,119,2,1149350,1726650,35.5245609,129.1471898
377,120,2,1149450,1726650,35.5245459,129.1482923
378,121,2,1149550,1726650,35.5245308,129.1493948
379,122,2,1149650,1726650,35.5245157,129.1504973
380,123,2,1149750,1726650,35.5245006,129.1515998
381,124,2,1149850,1726650,35.5244855,129.1527023
382,125,2,1149950,1726650,35.5244704,129.1538048
383,126,2,1150050,1726650,35.5244553,129.1549073
384,127,2,1150150,1726650,35.5244401,129.1560098
385,127,3,1150150,1726750,35.5253414,129.1560283
386,126,3,1150050,1726750,35.5253566,129.1549258
387,125,3,1149950,1726750,35.5253717,129.1538233
388,124,3,1149850,1726750,35.5253868,129.1527208
389,123,3,1149750,1726750,35.5254019,129.1516183
390,122,3,1149650,1726750,35.525417,129.1505157
391,121,3,1149550,1726750,35.5254321,129.1494132
392,120,3,1149450,1726750,35.5254472,129.1483107
393,119,3,1149350,1726750,35.5254622,129.1472082
394,118,3,1149250,1726750,35.5254773,129.1461057
395,117,3,1149150,1726750,35.5254923,129.1450032
396,116,3,1149050,1726750,35.5255074,129.1439007
397,115,3,1148950,1726750,35.5255224,129.1427982
398,114,3,1148850,1726750,35.5255374,129.1416957
399,113,3,1148750,1726750,35.5255524,129.1405931
400,112,3,1148650,1726750,35.5255674,129.1394906
401,111,3,1148550,1726750,35.5255824,129.1383881
402,110,3,1148450,1726750,35.5255974,129.1372856
403,109,3,1148350,1726750,35.5256123,129.1361831
404,108,3,1148250,1726750,35.5256273,129.1350806
405,107,3,1148150,1726750,35.5256422,129.133978
406,106,3,1148050,1726750,35.5256572,129.1328755
407,105,3,1147950,1726750,35.5256721,129.131773
408,104,3,1147850,1726750,35.525687,129.1306705
409,103,3,1147750,1726750,35.5257019,129.1295679
410,102,3,1147650,1726750,35.5257168,129.1284654
411,101,3,1147550,1726750,35.5257317,129.1273629
412,100,3,1147450,1726750,35.5257466,129.1262604
413,99,3,1147350,1726750,35.5257614,129.1251578
414,98,3,1147250,1726750,35.5257763,129.1240553
415,97,3,1147150,1726750,35.5257911,129.1229528
